EmployeeID,Age,Department,Salary
1,57,Finance,49457
2,42,Engineering,119221
3,24,Engineering,138543
4,28,Engineering,113415
5,29,Engineering,146697
6,29,Engineering,60488
7,32,Marketing,90679
8,41,Finance,66159
9,36,Marketing,123875
10,51,HR,107191
11,54,Finance,135620
12,57,HR,54167
13,42,Marketing,98444
14,48,Marketing,114297
15,32,Marketing,42994
16,37,Engineering,118557
17,23,Marketing,140716
18,23,Engineering,52521
19,29,Marketing,87824
20,42,HR,60766
21,23,Finance,84277
22,52,Engineering,141584
23,51,Marketing,127987
24,57,HR,132495
25,57,Finance,56390
26,42,Marketing,45221
27,37,Engineering,42741
28,38,Finance,142778
29,36,Engineering,106564
30,27,Engineering,116324
31,26,Marketing,95772
32,49,Finance,123945
33,56,Marketing,134491
34,30,Finance,115395
35,23,Marketing,89671
36,53,Finance,58474
37,46,Engineering,108672
38,38,Finance,126468
39,58,Marketing,49916
40,31,Engineering,51958
41,41,Marketing,146024
42,23,HR,96729
43,33,Marketing,144910
44,57,Marketing,85769
45,57,Engineering,43750
46,55,Marketing,143902
47,53,Marketing,139535
48,30,HR,104228
49,59,Finance,134719
50,52,Finance,44679
51,36,HR,77195
52,50,Finance,70601
53,45,Engineering,42468
54,40,HR,52507
55,57,Marketing,113205
56,49,Engineering,105609
57,40,Marketing,108222
58,40,Finance,99075
59,25,Finance,120401
60,48,Engineering,115961
61,38,HR,65186
62,59,Engineering,79502
63,31,Finance,76447
64,55,HR,120561
65,30,Engineering,137093
66,50,Finance,60361
67,45,Marketing,102744
68,28,Finance,124146
69,57,HR,69052
70,31,Marketing,74759
71,23,Finance,55799
72,23,Finance,66300
73,54,Finance,79118
74,46,HR,122735
75,24,Finance,108481
76,48,HR,142330
77,48,Marketing,49576
78,40,Engineering,95860
79,56,HR,102469
80,23,HR,109665
81,39,Marketing,81470
82,37,Marketing,149793
83,52,Engineering,73412
84,26,Marketing,55562
85,44,Engineering,113119
86,43,Finance,81402
87,41,HR,115344
88,59,HR,60145
89,45,HR,124924
90,54,Engineering,101867
91,43,HR,121916
92,49,HR,130756
93,36,Engineering,46876
94,29,HR,100899
95,52,HR,111305
96,43,Marketing,49784
97,24,HR,44277
98,35,Marketing,74068
99,38,Marketing,73654
100,42,Marketing,52877
